asin,price,imUrl,title
B0069FDR96,1.54,http://ecx.images-amazon.com/images/I/51Njhi%2BOqSL._SY300_.jpg,"World Pride Nail Tape Stripe Decoration Sticker Hologram, Set of 10"
B007BLN17K,1.68,http://ecx.images-amazon.com/images/I/41mbyxqyy-L._SY300_.jpg,"Nail Art Brushes- Professional Nail Art Brushes- Sable Nail Art Brush Pen, Detailer, Liner **Set of 3"
B000F6RFX4,6,http://ecx.images-amazon.com/images/I/31Kxsoo1bhL._SX300_.jpg,"Adovia Natural Dead Sea Mud Soap - Great for Eczema, Psoriasis or Acne! 125 GR (4.4OZ)"
B00H93NJLS,17.77,http://ecx.images-amazon.com/images/I/41iF4lYIG6L._SY300_.jpg,"ORGANIC Argan Oil 4OZ &#9733;SALE&#9733; 100% PURE Argan Oil for Hair, Face, Skin &amp; Nails | USDA Certified | Best Argania Spinosa from Morocco - Cold Pressed, Unrefined Virgin Argan Oil | Great for Acne, Dry Scalp, Body, Cuticles - &#9733; WORKS OR YOUR MONEY BACK | 100% LIFETIME Money Back Guarantee"
B00HJD8NLY,35,http://ecx.images-amazon.com/images/I/51BJsnsSTQL._SY300_.jpg,Vitamin C Serum - Antioxidant Treatment - Natural &amp; Organic - Incl. Organic Rosehip Oil &amp; Sea Buckthorn Oil - Brightening Serum - Rapid Absorption - Reduce Sun Spots and Wrinkles - Exclusive to Amazon - 1.18oz
B00I073WLE,20.32,http://ecx.images-amazon.com/images/I/41jbcsK3xTL._SY300_.jpg,"Olay Regenerist Luminous Tone Perfecting Cream, 1.7 Ounce"
B00I6CRX04,5.49,http://ecx.images-amazon.com/images/I/41y6oILM9OL._SY300_.jpg,"Irish Spring Gear Body Wash, Exfoliating, 15 Fl. Ounce"
B00IBS9QC6,32,http://ecx.images-amazon.com/images/I/41KxDRIuZJL._SY300_.jpg,"Dead Sea Mud Facial Mask and Deep Facial Cleanser by Adovia - Deep Pore Cleansing and Purifying Acne Treatment - Reduce Acne, Blackheads &amp; Pimples - Natural Face Mask, Exfoliator and Skin Care Treatment for Women, Men and Teens - Works for Eczema, Psoriasis, Acne and Blackheads - Leaves Your Skin Clear, Radiant and Younger Looking - 100% Satisfaction Guaranteed"
B00IDWP4IA,15.87,http://ecx.images-amazon.com/images/I/413wNArsXfL._SY300_.jpg,"Vitamin C Serum For Face 20% &#9733;Weekend SALE&#9733; Organic Serum + Hyaluronic Acid, Ferulic Acid &amp; Vitamin E | Best Anti-Aging Anti-Wrinkle Facial Skin Care Serum | Helps Diminish Appearance of Sun Damaged Skin, Sun Spots, Age Spots, Skin Discoloration, Fine Lines &amp; Wrinkles! | INSTANATURAL backs this product with a WORKS OR YOUR MONEY BACK Guarantee! &#9733; We'll refund your money if you're not satisfied! Try Risk FREE and Get The Beautiful, Radiant and Youthful Skin You Have Always Desired!"
B00IMHN0B4,11.95,http://ecx.images-amazon.com/images/I/41eZAEGVtZL._SY300_.jpg,"Moroccan Rose Water 100% Pure &amp; Natural For Face, Skin &amp; Hair | Facial Toner, Cleanser, Hydrator, Moisturizer, Makeup Remover by &#9733; InstaNatural - Best Skin Care - 4 oz. - 100 Days 100% Money Back Guarantee"
B00IP42FBA,24.97,http://ecx.images-amazon.com/images/I/41YpzYkeUWL._SY300_.jpg,"Organic Rosehip Oil 4OZ &#9733;SALE&#9733; 100% Pure Rosehip Seed Oil &amp; USDA Certified BEST Rosehip Oil For Face and Skin - InstaNatural | Great Moisturizer for Dry Skin, Hair, Nails, Stretch Marks, Scars, &amp; Spots | Unrefined, Cold Pressed Virgin Rosehip Seed Oil | 100% LIFETIME GUARANTEE :: We'll refund your money if you're not satisfied! Try Risk FREE!"
B00IT1HKV4,15.95,http://ecx.images-amazon.com/images/I/41%2B9u7%2BiO8L._SY300_.jpg,"ORGANIC Argan Oil For Hair &amp; Face - 100% Pure &amp; ECO Certified Organic - Larger 4 oz Bottle - Miracle Oil For Every Skin Condition, Hair, Nails, Anti-aging &amp; More! Pure Moroccan Argan Oil - 100% Guaranteed to Work Wonders for Your Body!"
